"filename", "language", "XML", "PlantUML", "Java Properties", "Java", "comment", "blank", "total"
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\concise\Concise_Andr_UML_1.puml", "PlantUML", 0, 18, 0, 0, 0, 5, 23
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\concise\Concise_Andr_UML_2.puml", "PlantUML", 0, 25, 0, 0, 0, 5, 30
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\concise\Concise_Andr_UML_3.puml", "PlantUML", 0, 19, 0, 0, 0, 4, 23
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\concise\Concise_Andr_UML_4.puml", "PlantUML", 0, 12, 0, 0, 0, 2, 14
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\concise\Concise_Andr_UML_5.puml", "PlantUML", 0, 17, 0, 0, 0, 4, 21
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\AccountFragment.puml", "PlantUML", 0, 16, 0, 0, 0, 0, 16
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\HistoryFragment.puml", "PlantUML", 0, 13, 0, 0, 0, 0, 13
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\HomeActivity.puml", "PlantUML", 0, 8, 0, 0, 0, 0, 8
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\LoginActivity.puml", "PlantUML", 0, 11, 0, 0, 0, 0, 11
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\OptimizedRoute.puml", "PlantUML", 0, 13, 0, 0, 0, 0, 13
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\RESTCommunicationHelper.puml", "PlantUML", 0, 6, 0, 0, 0, 0, 6
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\RoutePreview.puml", "PlantUML", 0, 15, 0, 0, 0, 0, 15
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\RouteRequestObject.puml", "PlantUML", 0, 15, 0, 0, 0, 0, 15
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\RouteSetupActivity.puml", "PlantUML", 0, 21, 0, 0, 0, 0, 21
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\RunDataPoint.puml", "PlantUML", 0, 22, 0, 0, 0, 0, 22
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\RunDataSummary.puml", "PlantUML", 0, 15, 0, 0, 0, 0, 15
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\RunFragment.puml", "PlantUML", 0, 8, 0, 0, 0, 0, 8
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\RunHistoryAdapter.puml", "PlantUML", 0, 11, 0, 0, 0, 0, 11
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\android_studio_diagrams\detailed\RunPointsUpdateRequestObject.puml", "PlantUML", 0, 12, 0, 0, 0, 0, 12
